F3l2n1m2	V5w2l	d6r1t35n	f0_p6nt5 m2d35	F1	F2
B2rn1rd1101	1	0.047399146336726344	202.72740918923336	819.2003736500886	1735.7645311606823
B2rn1rd1103	2	0.07405636603525131	225.79853307808693	528.6294326324063	2369.068077577705
B2rn1rd1105	2	0.07789434098832371	217.31593284323802	600.4875075551119	2348.954032237203
B2rn1rd1107	2	0.06604564310155753	208.1694137659343	560.5558240573758	2315.669469189029
B2rn1rd1109	2	0.06554349986802383	221.63208166714668	542.4361094377462	2392.054326020627
B2rn1rd111	5	0.05792982491840193	208.64300978161376	597.4247786969513	1436.9461433082392
B2rn1rd1111	2	0.06585914305025611	104.0026116271542	529.7183658971999	2365.3740198372366
B2rn1rd1113	2	0.07305277762001522	99.24866346453592	551.2758455843895	2319.0433473892426
B2rn1rd1115	2	0.060539640137927925	231.8040246653848	498.4563574726074	2275.548714235967
B2rn1rd1117	2	0.056631245292845286	107.55632870268023	557.6619698756284	2285.344412000203
B2rn1rd1119	2	0.0412725085625511	198.6756825425911	474.40185609203235	2372.3353621807873
B2rn1rd1121	2	0.03910933778677177	223.0680925998238	497.89587914981723	2151.4518013908755
B2rn1rd1123	2	0.05281426280161178	244.32104431718636	557.4028343364369	2384.788594499468
B2rn1rd1125	2	0.050926160688553185	213.33402700206705	522.9965918636373	2259.5556996000196
B2rn1rd1127	2	0.03145851774324944	104.32527554935518	536.1164007616052	2331.1107188767955
B2rn1rd1129	2	0.027151834608302908	129.76839514150768	589.6365766822502	2268.5336984831592
B2rn1rd113	5	0.07339453466683155	194.66531886290198	594.7302691103525	1310.1077459404232
B2rn1rd1131	2	0.05184900157915294	230.11903024475697	506.40920641382024	2249.5973641933588
B2rn1rd1133	2	0.036746706031949	208.09680140633895	442.7729974589186	2197.4156376794153
B2rn1rd1135	2	0.05623903249164153	241.2951331645136	572.8323090860819	2295.372866933702
B2rn1rd1137	2	0.05198521997826466	212.4906560540592	546.5586432900395	2311.3079954195755
B2rn1rd1139	2	0.05802208055898639	192.4918685675232	556.7098359672849	2169.8125513519226
B2rn1rd1141	2	0.040359183783843594	248.2674928836141	571.4076929725767	2028.672031691467
B2rn1rd1143	2	0.04615083944566194	223.49940644174194	548.7870280205248	2109.9026553572317
B2rn1rd1145	2	0.030445696947296416	218.35235469522917	576.8532109634418	2134.466926859
B2rn1rd1147	2	0.05299599655583978	231.45476066404635	632.5245113324858	2219.7821553564163
B2rn1rd1149	2	0.059774356507565796	213.4233515838002	627.3319439331152	2264.3350311066865
B2rn1rd115	5	0.04686243498682441	198.34062188243774	550.7337794023032	1387.1759166783138
B2rn1rd1151	2	0.060396583806283335	206.23612594643222	605.8604260711088	2247.4187469916837
