kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 9019.664691
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 8906.781762
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 8811.847263
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 8880.985200
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 8852.164673
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 9003.503812
// Iteration 0; Missing rate = 0.100000; RSE (X, X_ic) = 8926.342870
Linear ; 0.100000 ; 311.085027 ; 3068.000305 ; 5941.157111; 0.287682
rbf ; 0.100000 ; 268.738373 ; 5320.309555 ; 0.164599; 0.164599
linxrbf ; 0.100000 ; 311.295669 ; 2535.234218 ; 4909.460007; 0.283899
// Iteration 0; Missing rate = 0.400000; RSE (X, X_ic) = 17805.670298
Linear ; 0.400000 ; 325.893853 ; 9499.817930 ; 11560.030337; 0.605174
rbf ; 0.400000 ; 263.771357 ; 16891.820260 ; 0.377650; 0.377650
linxrbf ; 0.400000 ; 314.277314 ; 10023.727755 ; 12197.559763; 0.597462
// Iteration 0; Missing rate = 0.500000; RSE (X, X_ic) = 19862.556513
Linear ; 0.500000 ; 346.637112 ; 5967.672714 ; 13084.987908; 0.686034
rbf ; 0.500000 ; 283.525160 ; 10458.577963 ; 0.445425; 0.445425
linxrbf ; 0.500000 ; 318.057111 ; 6155.356777 ; 13496.512436; 0.669785
// Iteration 0; Missing rate = 0.600000; RSE (X, X_ic) = 21856.232759
Linear ; 0.600000 ; 336.002226 ; 7913.416736 ; 15046.701355; 0.763984
rbf ; 0.600000 ; 271.627507 ; 13276.346811 ; 0.525008; 0.525008
linxrbf ; 0.600000 ; 321.663124 ; 8654.889792 ; 16456.550476; 0.778372
// Iteration 0; Missing rate = 0.700000; RSE (X, X_ic) = 23532.981118
Linear ; 0.700000 ; 364.390230 ; 13088.081856 ; 16929.103846; 0.815889
rbf ; 0.700000 ; 287.104310 ; 21011.485473 ; 0.606324; 0.606324
linxrbf ; 0.700000 ; 334.182819 ; 14617.868052 ; 18907.843715; 0.831344
// Iteration 0; Missing rate = 0.800000; RSE (X, X_ic) = 25148.589196
Linear ; 0.800000 ; 356.473194 ; 10763.345426 ; 19288.739062; 0.889406
rbf ; 0.800000 ; 288.681801 ; 16203.701904 ; 0.704952; 0.704952
linxrbf ; 0.800000 ; 333.475746 ; 11369.002508 ; 20374.122923; 0.907200
// Iteration 0; Missing rate = 0.900000; RSE (X, X_ic) = 26670.077025
Linear ; 0.900000 ; 365.462973 ; 49565.255776 ; 22796.702836; 0.953703
rbf ; 0.900000 ; 281.209555 ; 66960.300057 ; 0.828805; 0.828805
linxrbf ; 0.900000 ; 333.166660 ; 53509.605503 ; 24610.839920; 1.022217
// Iteration 0; Missing rate = 0.920000; RSE (X, X_ic) = 27001.344011
Linear ; 0.920000 ; 354.919689 ; 19462.484245 ; 23836.576739; 0.984700
rbf ; 0.920000 ; 290.713115 ; 25463.120078 ; 0.862242; 0.862242
linxrbf ; 0.920000 ; 322.781927 ; 20588.975856 ; 25216.241503; 1.037062
// Iteration 0; Missing rate = 0.940000; RSE (X, X_ic) = 27300.374459
Linear ; 0.940000 ; 364.537772 ; 11470.411323 ; 24591.005440; 0.987165
