kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc; rse feature_space
kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc; rse feature_space
cmu_softxrbfx3xlinear ; 0.100000 ; 10513.730785 ; 3396.888670 ; 6441.699251; 0.327318; 0.366768
cmu_softxrbfx3xlinear ; 0.400000 ; 29126.493962 ; 7391.659826 ; 13086.819129; 0.757021; 0.339372
cmu_softxrbfx3xlinear ; 0.500000 ; 29088.891475 ; 7099.790550 ; 14402.926443; 0.890829; 0.329539
cmu_softxrbfx3xlinear ; 0.600000 ; 28211.442319 ; 8795.553295 ; 15949.957764; 1.044518; 0.314398
cmu_softxrbfx3xlinear ; 0.700000 ; 25048.914345 ; 19237.854379 ; 17082.321840; 1.198488; 0.289175
cmu_softxrbfx3xlinear ; 0.800000 ; 18683.154212 ; 19656.462342 ; 18487.688285; 1.422275; 0.260868
cmu_softxrbfx3xlinear ; 0.900000 ; 11501.194035 ; 9682.840103 ; 20006.798253; 1.706469; 0.196427
cmu_softxrbfx3xlinear ; 0.920000 ; 9507.448007 ; 9697.171879 ; 19900.568826; 1.735415; 0.195023
cmu_softxrbfx3xlinear ; 0.940000 ; 7534.697262 ; 99339.248153 ; 19482.029258; 1.737380; 0.163296
cmu_softxrbfx3xlinear ; 0.960000 ; 5292.774134 ; 9723.270174 ; 19816.984184; 1.810919; 0.121665
cmu_softxrbfx3xlinear ; 0.980000 ; 3152.667343 ; 30215.411375 ; 20095.127949; 1.882312; 0.085225
cmu_softxrbfx3xlinear ; 0.100000 ; 10507.156147 ; 7357.334775 ; 6452.809602; 0.328763; 0.352655
cmu_softxrbfx3xlinear ; 0.400000 ; 28927.237708 ; 14955.528523 ; 12951.867703; 0.751575; 0.365532
cmu_softxrbfx3xlinear ; 0.500000 ; 28664.752762 ; 8520.878648 ; 14520.153222; 0.895875; 0.337690
cmu_softxrbfx3xlinear ; 0.600000 ; 28016.924633 ; 14257.492698 ; 15940.361611; 1.039865; 0.319939
cmu_softxrbfx3xlinear ; 0.700000 ; 24857.054595 ; 9398.793230 ; 16993.971152; 1.199991; 0.291333
cmu_softxrbfx3xlinear ; 0.800000 ; 18920.369927 ; 8307.804917 ; 18397.326413; 1.418431; 0.263700
cmu_softxrbfx3xlinear ; 0.900000 ; 11372.667816 ; 25548.770953 ; 19405.685497; 1.650262; 0.199500
