sigmal ; sigmap ; rse
118.628018 ; 0.000010 ; 0.000010 ; 0.944320 
121.099785 ; 0.000010 ; 0.000100 ; 0.940706 
119.785310 ; 0.000010 ; 0.001000 ; 0.951229 
117.298728 ; 0.000010 ; 0.010000 ; 0.940801 
119.684559 ; 0.000010 ; 0.100000 ; 0.944945 
120.904380 ; 0.000010 ; 0.500000 ; 0.943649 
151.445319 ; 0.000010 ; 10.000000 ; 0.708649 
153.369851 ; 0.000010 ; 100.000000 ; 0.535645 
149.463331 ; 0.000010 ; 1000.000000 ; 0.444546 
149.250145 ; 0.000010 ; 10000.000000 ; 0.444136 
148.766633 ; 0.000010 ; 100000.000000 ; 0.438973 
119.906557 ; 0.000100 ; 0.000010 ; 0.930500 
129.033966 ; 0.000100 ; 0.000100 ; 0.915308 
119.666234 ; 0.000100 ; 0.001000 ; 0.910099 
121.302802 ; 0.000100 ; 0.010000 ; 0.934070 
116.863811 ; 0.000100 ; 0.100000 ; 0.924137 
125.772920 ; 0.000100 ; 0.500000 ; 0.926954 
140.629196 ; 0.000100 ; 10.000000 ; 0.811529 
152.755045 ; 0.000100 ; 100.000000 ; 0.507119 
149.347961 ; 0.000100 ; 1000.000000 ; 0.512492 
148.993214 ; 0.000100 ; 10000.000000 ; 0.466023 
153.417628 ; 0.000100 ; 100000.000000 ; 0.496235 
121.157679 ; 0.001000 ; 0.000010 ; 0.942815 
124.567425 ; 0.001000 ; 0.000100 ; 0.939502 
133.147979 ; 0.001000 ; 0.001000 ; 0.941469 
121.284062 ; 0.001000 ; 0.010000 ; 0.945965 
115.653836 ; 0.001000 ; 0.100000 ; 0.934615 
115.988836 ; 0.001000 ; 0.500000 ; 0.945921 
147.806642 ; 0.001000 ; 10.000000 ; 0.743708 
150.605268 ; 0.001000 ; 100.000000 ; 0.540282 
156.928342 ; 0.001000 ; 1000.000000 ; 0.452036 
154.016835 ; 0.001000 ; 10000.000000 ; 0.445681 
148.207859 ; 0.001000 ; 100000.000000 ; 0.516194 
117.641027 ; 0.010000 ; 0.000010 ; 0.911884 
137.600884 ; 0.010000 ; 0.000100 ; 0.935423 
119.140547 ; 0.010000 ; 0.001000 ; 0.936200 
118.139836 ; 0.010000 ; 0.010000 ; 0.943867 
122.670687 ; 0.010000 ; 0.100000 ; 0.942301 
116.961539 ; 0.010000 ; 0.500000 ; 0.927045 
151.998911 ; 0.010000 ; 10.000000 ; 0.790442 
151.537000 ; 0.010000 ; 100.000000 ; 0.513400 
149.126646 ; 0.010000 ; 1000.000000 ; 0.435781 
150.057659 ; 0.010000 ; 10000.000000 ; 0.494532 
152.166482 ; 0.010000 ; 100000.000000 ; 0.446358 
119.485059 ; 0.100000 ; 0.000010 ; 0.934693 
118.266108 ; 0.100000 ; 0.000100 ; 0.921454 
124.691906 ; 0.100000 ; 0.001000 ; 0.922173 
119.691062 ; 0.100000 ; 0.010000 ; 0.935475 
127.482714 ; 0.100000 ; 0.100000 ; 0.932589 
125.717183 ; 0.100000 ; 0.500000 ; 0.916071 
191.961082 ; 0.100000 ; 10.000000 ; 0.740093 
149.394509 ; 0.100000 ; 100.000000 ; 0.480960 
152.805071 ; 0.100000 ; 1000.000000 ; 0.527611 
147.868325 ; 0.100000 ; 10000.000000 ; 0.451168 
151.245129 ; 0.100000 ; 100000.000000 ; 0.536551 
144.246703 ; 0.500000 ; 0.000010 ; 0.814480 
149.982187 ; 0.500000 ; 0.000100 ; 0.846412 
152.655116 ; 0.500000 ; 0.001000 ; 0.830740 
148.884202 ; 0.500000 ; 0.010000 ; 0.849454 
166.179239 ; 0.500000 ; 0.100000 ; 0.818739 
150.624745 ; 0.500000 ; 0.500000 ; 0.834728 
155.512197 ; 0.500000 ; 10.000000 ; 0.556550 
153.923888 ; 0.500000 ; 100.000000 ; 0.488370 
151.716575 ; 0.500000 ; 1000.000000 ; 0.449223 
153.542925 ; 0.500000 ; 10000.000000 ; 0.449450 
153.756704 ; 0.500000 ; 100000.000000 ; 0.448598 
148.060397 ; 10.000000 ; 0.000010 ; 0.463428 
152.793808 ; 10.000000 ; 0.000100 ; 0.465936 
151.805384 ; 10.000000 ; 0.001000 ; 0.463708 
149.050942 ; 10.000000 ; 0.010000 ; 0.460714 
150.742189 ; 10.000000 ; 0.100000 ; 0.465255 
163.036413 ; 10.000000 ; 0.500000 ; 0.459874 
240.523383 ; 10.000000 ; 10.000000 ; 0.397457 
152.172785 ; 10.000000 ; 100.000000 ; 0.417132 
152.535528 ; 10.000000 ; 1000.000000 ; 0.384558 
152.976723 ; 10.000000 ; 10000.000000 ; 0.384999 
152.075579 ; 10.000000 ; 100000.000000 ; 0.383102 
152.727444 ; 100.000000 ; 0.000010 ; 0.437164 
150.778507 ; 100.000000 ; 0.000100 ; 0.440965 
150.783082 ; 100.000000 ; 0.001000 ; 0.437675 
149.551065 ; 100.000000 ; 0.010000 ; 0.429390 
149.241762 ; 100.000000 ; 0.100000 ; 0.442180 
149.853827 ; 100.000000 ; 0.500000 ; 0.443839 
155.809189 ; 100.000000 ; 10.000000 ; 0.378944 
151.871000 ; 100.000000 ; 100.000000 ; 0.388213 
161.712652 ; 100.000000 ; 1000.000000 ; 0.359088 
147.892993 ; 100.000000 ; 10000.000000 ; 0.355215 
348.144427 ; 100.000000 ; 100000.000000 ; 0.356774 
214.607961 ; 1000.000000 ; 0.000010 ; 0.439071 
150.834604 ; 1000.000000 ; 0.000100 ; 0.448442 
153.184009 ; 1000.000000 ; 0.001000 ; 0.443176 
150.751634 ; 1000.000000 ; 0.010000 ; 0.440987 
150.028131 ; 1000.000000 ; 0.100000 ; 0.441214 
154.708015 ; 1000.000000 ; 0.500000 ; 0.440979 
