time,sigmal , sigmap ,sigmai, rse
94.915476,0.00001,0.00001,0.00001,0.997712
95.901629,0.00001,0.00001,0.0001,0.997712
97.533224,0.00001,0.00001,0.001,0.997712
96.967157,0.00001,0.00001,0.01,0.997712
95.395877,0.00001,0.00001,0.1,0.997712
96.708943,0.00001,0.00001,0.5,0.997712
98.195914,0.00001,0.00001,10,0.997712
95.008052,0.00001,0.00001,100,0.997706
97.967918,0.00001,0.00001,1000,0.968523
95.491075,0.00001,0.00001,10000,0.965975
97.708995,0.00001,0.00001,100000,0.963071
95.983518,0.00001,0.0001,0.00001,0.997712
96.372881,0.00001,0.0001,0.0001,0.997712
94.763002,0.00001,0.0001,0.001,0.997712
95.848461,0.00001,0.0001,0.01,0.997712
96.8576,0.00001,0.0001,0.1,0.997712
96.528122,0.00001,0.0001,0.5,0.997712
97.410815,0.00001,0.0001,10,0.997712
96.843987,0.00001,0.0001,100,0.997709
98.170863,0.00001,0.0001,1000,0.969614
97.456663,0.00001,0.0001,10000,0.964547
97.707623,0.00001,0.0001,100000,0.966338
97.266834,0.00001,0.001,0.00001,0.997712
99.156538,0.00001,0.001,0.0001,0.997712
96.683752,0.00001,0.001,0.001,0.997712
95.860082,0.00001,0.001,0.01,0.997712
95.703587,0.00001,0.001,0.1,0.997712
97.627183,0.00001,0.001,0.5,0.997712
96.526436,0.00001,0.001,10,0.997712
95.199007,0.00001,0.001,100,0.997707
99.219515,0.00001,0.001,1000,0.970143
97.257153,0.00001,0.001,10000,0.966574
96.79297,0.00001,0.001,100000,0.964299
95.051051,0.00001,0.01,0.00001,0.997712
95.046307,0.00001,0.01,0.0001,0.997712
96.48688,0.00001,0.01,0.001,0.997712
98.537839,0.00001,0.01,0.01,0.997712
94.662168,0.00001,0.01,0.1,0.997712
97.172212,0.00001,0.01,0.5,0.997712
95.305811,0.00001,0.01,10,0.997712
96.809207,0.00001,0.01,100,0.997711
95.666458,0.00001,0.01,1000,0.97165
97.455133,0.00001,0.01,10000,0.96206
95.094484,0.00001,0.01,100000,0.96816
95.972428,0.00001,0.1,0.00001,0.997712
97.988352,0.00001,0.1,0.0001,0.997712
95.77895,0.00001,0.1,0.001,0.997712
94.61637,0.00001,0.1,0.01,0.997712
96.01631,0.00001,0.1,0.1,0.997712
96.280422,0.00001,0.1,0.5,0.997712
95.227873,0.00001,0.1,10,0.997712
98.526002,0.00001,0.1,100,0.997706
95.031341,0.00001,0.1,1000,0.969841
96.436047,0.00001,0.1,10000,0.965675
95.70029,0.00001,0.1,100000,0.962285
95.561441,0.00001,0.5,0.00001,0.997712
97.059703,0.00001,0.5,0.0001,0.997712
96.325831,0.00001,0.5,0.001,0.997712
97.028605,0.00001,0.5,0.01,0.997712
97.275693,0.00001,0.5,0.1,0.997712
96.079735,0.00001,0.5,0.5,0.997712
95.361174,0.00001,0.5,10,0.997712
97.054063,0.00001,0.5,100,0.997711
95.756545,0.00001,0.5,1000,0.967804
95.578084,0.00001,0.5,10000,0.96124
94.599518,0.00001,0.5,100000,0.968639
96.674177,0.00001,10,0.00001,0.997712
96.042766,0.00001,10,0.0001,0.997712
97.16847,0.00001,10,0.001,0.997712
96.384235,0.00001,10,0.01,0.997712
96.199633,0.00001,10,0.1,0.997712
99.20353,0.00001,10,0.5,0.997712
97.067407,0.00001,10,10,0.997712
96.797986,0.00001,10,100,0.997702
104.242747,0.00001,10,1000,0.881506
98.037901,0.00001,10,10000,0.848456
98.930513,0.00001,10,100000,0.853779
94.256183,0.00001,100,0.00001,0.997712
95.890147,0.00001,100,0.0001,0.997712
98.634876,0.00001,100,0.001,0.997712
95.182281,0.00001,100,0.01,0.997712
94.852095,0.00001,100,0.1,0.997712
96.825753,0.00001,100,0.5,0.997712
96.482357,0.00001,100,10,0.997712
98.011798,0.00001,100,100,0.99766
112.846895,0.00001,100,1000,0.751755
100.955579,0.00001,100,10000,0.676866
97.554784,0.00001,100,100000,0.706594
92.760474,0.00001,1000,0.00001,0.997712
96.845148,0.00001,1000,0.0001,0.997712
94.707537,0.00001,1000,0.001,0.997712
96.211372,0.00001,1000,0.01,0.997712
96.041298,0.00001,1000,0.1,0.997712
96.556727,0.00001,1000,0.5,0.997712
95.425804,0.00001,1000,10,0.997712
96.525088,0.00001,1000,100,0.997701
122.698762,0.00001,1000,1000,0.676388
97.091986,0.00001,1000,10000,0.722828
